L3_CODE,Finan_emp,Elec_emp,Public_emp,Manu_emp,Const_emp,Hotel_emp,Estate_emp,Edu_emp,Trans_emp,Const_emp_2001,Edu_emp_2001,Elec_emp_2001,Estate_emp_2001,Finan_emp_2001,Hotel_emp_2001,Manu_emp_2001,Public_emp_2001,Trans_emp_2001,Manu_emp_growth,Elec_emp_growth,Const_emp_growth,Hotel_emp_growth,Trans_emp_growth,Finan_emp_growth,Estate_emp_growth,Public_emp_growth,Edu_emp_growth
100409.0,5654.0,207.0,3488.0,5770.0,1e-05,28489.0,1211.0,8480.0,1161.0,1e-05,2112.0,30.0,132.0,220.0,4772.0,610.0,294.0,72.0,0.20592555417667158,0.17463812053175842,0.0,0.16055233807015634,0.26073838843938213,0.310673223129172,0.2028575107891124,0.22890721919315005,0.12281574718325361
100419.0,323.0,43.0,349.0,1697.0,1e-05,2222.0,45.0,967.0,35.0,1e-05,624.0,2.0,36.0,83.0,1888.0,505.0,302.0,68.0,0.10628206584730315,0.29132791182519036,0.0,0.013666682139335196,-0.053842881937106735,0.11989430421688985,0.018769265121506118,0.01212668118638649,0.037178463707317144
100428.0,1693.0,129.0,1034.0,2390.0,46.0,7660.0,371.0,4036.0,140.0,3.0,2824.0,35.0,164.0,660.0,6829.0,1441.0,1093.0,106.0,0.04306448865863488,0.11483382943183051,0.2554604850603561,0.009615411671372698,0.023454439490814938,0.08166493683582954,0.07039524654980767,-0.004613610543351965,0.030205518887886917
100447.0,406.0,3.0,362.0,1596.0,1e-05,4361.0,116.0,1871.0,122.0,1e-05,1052.0,4.0,47.0,170.0,3150.0,650.0,189.0,58.0,0.0777299719428024,-0.023688424222606752,0.0,0.027479015869824597,0.06392493240782016,0.0752425100470353,0.07819342129032636,0.055651487178129955,0.04915141484561847
100485.0,601.0,108.0,410.0,1645.0,1e-05,5329.0,160.0,1953.0,94.0,1e-05,1360.0,2.0,45.0,150.0,3606.0,542.0,411.0,64.0,0.09693413501140036,0.3943318461685028,0.0,0.03308248807500336,0.03255292977377655,0.12261782685436251,0.11149869143164759,-0.00020298396245732597,0.03061615213659996
100602.0,507.0,15.0,385.0,2273.0,1e-05,7897.0,320.0,2346.0,88.0,1e-05,1521.0,16.0,68.0,203.0,5305.0,2148.0,177.0,143.0,0.004724740572431552,-0.005363773415645645,0.0,0.03370844065511869,-0.039651447262876505,0.07925978156660185,0.1377672328373416,0.06690058991856729,0.03677193572133053
100603.0,436.0,325.0,327.0,4126.0,1e-05,8788.0,248.0,2359.0,192.0,1e-05,2048.0,216.0,38.0,290.0,4126.0,1391.0,325.0,176.0,0.0948387861205704,0.03463174818807113,0.0,0.06503382759409848,0.007277299859802078,0.03456402907670686,0.16920053933056622,0.0005113797573612633,0.011850845807615196
100607.0,1158.0,136.0,362.0,5347.0,4.0,14988.0,519.0,4671.0,218.0,1e-05,3244.0,5.0,106.0,194.0,7599.0,2398.0,206.0,113.0,0.06910842123706562,0.31688365918240824,1.9298024147245099,0.05823536240637406,0.0562859525280992,0.16053676312191767,0.14153296558827066,0.04810174934222,0.030846700396475413
100610.0,458.0,68.0,350.0,4369.0,2.0,8623.0,202.0,2560.0,61.0,14.0,1847.0,19.0,63.0,328.0,5819.0,2655.0,319.0,175.0,0.04238093583656122,0.11210623592340796,-0.14969415714139434,0.03331841489939302,-0.08407977539740152,0.028211924452320236,0.10196440985385302,0.007758446283496534,0.027577112368628587
100632.0,928.0,40.0,628.0,2067.0,1e-05,12423.0,415.0,2518.0,323.0,18.0,3034.0,50.0,195.0,395.0,6877.0,2341.0,381.0,167.0,-0.010319708265254524,-0.018423470126248342,-0.6988885354226556,0.050515073667761534,0.05651054866971039,0.07377323227222288,0.06496284738911418,0.04252438566781791,-0.015414703693914178
